Duration of class (min),Heart Rate (bpm),HR Rest,60% THR (bpm),70% THR (bpm),80% THR (bpm),90% THR (bpm),HR Max (bpm),,,,,,,,,
0:05:19,159,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:20,159,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:21,160,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:22,160,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:23,161,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:24,161,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:25,162,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:26,162,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:27,162,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:28,163,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:29,163,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:30,163,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:31,164,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:32,164,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:33,164,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:34,164,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:35,164,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:36,164,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:37,164,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:38,164,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:39,162,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:40,162,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:41,162,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:42,162,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:43,162,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:44,163,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:45,163,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:46,163,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:47,163,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:48,163,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:49,163,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:50,162,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:51,162,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:52,161,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:53,161,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:54,161,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:55,161,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:56,161,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:57,161,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:58,161,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:59,161,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:00,161,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:01,161,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:02,161,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:03,160,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:04,160,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:05,160,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:06,160,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:07,160,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:08,160,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:09,156,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:10,156,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:11,156,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
